이름,PER,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA
김태훈,,0.23,20,0,0,-3,-1,-3,0,8,-6,-2,-5,-19,-7,-1,1,-4,-1,1,5,-10,0,0,-0.28,-0.16,0.01,19.4,21.3,0.23,-0.05
김태훈,,-1.06,0,0,0,3,-7,3,0,2,-8,16,16,-19,-16,-2,0,3,16,0,4,-7,0,7,2.9,2.04,0.18,-26.6,-23.5,-1.06,-1.53
배재환,,0.21,-9,0,0,0,-2,-2,0,-8,-11.1,-4,-3,-38,-11,-2,2,1,4,1,2,-28,1,3,0.34,2.23,0.23,6.7,-30.4,0.21,-1.22
김민,,-1.02,-3,0,0,-20,-3,-9,0,1,-108,-53,-52,-467,-129,-22,-4,-10,-36,0,1,-59,-2,1,1.58,1.32,0.17,-10.7,-7.7,-1.02,0.74
백승건,,-1.16,-5,0,0,7,0,5,0,0,10,24,21,75,21,1,0,6,19,0,1,14,0,0,5.65,3.48,0.87,-121.8,-30.8,-1.16,-0.99
김진영,147,0.75,52,0,0,-5,3,-1,0,8,27.8,14,8,114,21,-2,0,5,6,0,2,42,0,5,-0.72,-0.43,-0.31,40.1,22.8,0.75,-0.23
김민수,8,-1.2,5,0,0,7,-5,3,-2,-1,21.9,34,25,128,64,10,-2,4,0,-2,2,7,0,2,1.14,0.35,0.32,-5.4,6.1,-1.2,-2.95
김이환,10,-0.65,6,0,0,7,-2,4,0,0,26.2,31,31,141,33,4,0,7,23,0,2,26,0,3,2.56,1.21,0.18,-27.6,-6,-0.65,-1.23
강윤구,-33,-0.54,-37,0,0,0,-2,-2,0,-12,-35.1,-13,-12,-139,-24,3,-4,-1,-13,-2,-4,-34,0,0,2.39,1.59,0.6,-23.4,-19.3,-0.54,-1.1
차명진,,-0.62,-8,0,0,-6,-3,-1,0,0,-32.9,-12,-11,-145,-32,-9,0,-1,-18,0,0,-19,0,-3,130.64,17.1,7.39,-93.1,-71.7,-0.62,-0.26
원종현,,0.62,-2,0,0,0,0,2,-1,0,-3,-1,0,-11,-6,-4,-1,0,3,-1,-1,-18,0,-1,0.21,0.93,0.01,10.1,-15.6,0.62,-0.14
신재웅,,-0.65,4,0,0,-1,1,0,0,0,-2.1,12,12,5,12,-1,2,4,4,0,-1,-3,0,0,5.99,3.72,0.96,-75.8,-38.3,-0.65,-0.37
김선기,,0.24,18,0,0,-6,-3,-1,0,3,-6,-5,-8,-30,-10,-2,0,-1,-1,0,0,-6,0,2,-2.13,0.27,-0.15,130.5,7.2,0.24,0.14
신재영,,-0.67,-5,0,0,-6,-1,0,0,0,-24.1,-6,-5,-98,-21,-10,-1,1,-5,0,-4,-20,0,-1,8.92,7.02,1.93,-75,-68.1,-0.67,-0.76
박치국,100,1.06,2,0,0,0,2,2,-3,-8,19.2,8,-3,88,1,-2,1,0,20,2,0,31,0,-2,-1.61,-0.2,-0.12,69.4,18.9,1.06,0.8
문광은,,-0.42,-28,0,0,0,-1,-1,-1,-3,-29,-10,-10,-120,-28,-2,0,-2,-11,0,-1,-22,0,-1,7.16,2.03,0.79,-58.8,-23.2,-0.42,-0.92
최채흥,113.3,3.08,-2,1,1,11,5,0,0,-2,39.8,0,1,139,4,6,-4,2,15,-1,6,34,3,-3,-1.23,0.16,-0.28,48.3,10.3,3.08,2.53
여건욱,,-0.58,0,0,0,0,1,3,1,2,-2,10,9,-6,1,-3,0,6,-4,0,2,-6,0,1,3.22,3.2,0,-39,-47.6,-0.58,-0.72
임창민,,-0.32,24,0,0,0,7,1,0,9,22.2,20,18,115,25,8,1,3,15,0,1,34,0,2,2.86,-0.03,0.18,-83.6,14.4,-0.32,-1.36
강지광,,-0.29,-19,0,0,0,-2,-4,0,-6,-23.9,-11,-10,-95,-17,-5,0,1,-10,-1,0,-11,0,-3,0.96,2.34,0.9,-9,-36.4,-0.29,-0.7
하준호,33,-0.37,34,0,0,1,0,3,0,5,33.2,29,27,156,34,6,0,0,23,1,2,15,0,1,4.92,0.86,0.56,-291.1,-5.8,-0.37,-0.98
권오준,,-0.57,-26,0,0,0,-3,2,0,-2,-27,-7,-10,-115,-27,-7,0,-4,-9,0,-2,-16,0,0,3.21,0.02,0.14,-24.2,11.9,-0.57,-0.23
김영규,,-0.18,-10,-1,-1,3,-3,-2,0,0,1.1,7,2,-11,1,3,1,5,-17,0,-4,9,2,1,0.16,-0.11,-0.27,9.6,14.8,-0.18,-0.6
홍성민,,1.17,18,0,0,0,1,0,0,7,13.8,-2,-3,47,3,0,0,2,6,1,1,7,0,0,-3.22,1.76,-0.34,372.5,-51.6,1.17,1.5
김현수,16.7,-0.1,9,0,0,4,1,1,0,0,26,25,25,143,38,6,3,3,30,0,2,15,0,0,5.82,4.04,1.6,-228.6,-87.4,-0.1,-0.12
송승준,0,-0.1,11,0,0,0,2,1,0,1,10.1,10,10,55,14,2,2,0,8,2,3,12,0,3,1.8,-0.25,0.24,-17,18.6,-0.1,-0.76
박진태,,-0.7,10,0,0,-2,0,-1,0,0,10.1,23,23,63,22,6,0,9,10,0,1,9,0,0,8.7,6.1,0.65,-60.6,-35.6,-0.7,-0.09
임준섭,-35,-0.7,-24,0,0,-5,-1,-1,0,0,-40.9,-17,-10,-181,-38,-9,-1,0,-22,0,-1,-20,0,-5,9.3,1.37,1.07,-63.5,-12.5,-0.7,0.32
김성훈,,-0.11,-12,0,0,-1,0,-1,0,0,-19.1,-11,-11,-91,-23,-5,0,-3,-11,0,-1,-23,0,-6,-1.84,0.59,-0.08,74.1,2.4,-0.11,0.51
이현승,-82.5,0.06,53,0,0,0,2,0,2,7,36.1,25,23,173,44,8,2,2,21,0,2,38,1,3,2.31,1.75,0.96,-49.2,-80.2,0.06,-0.83
이우찬,,-0.26,-26,0,0,-12,-5,-4,0,-2,-86.8,-49,-43,-368,-69,-12,-1,-4,-59,-1,-2,-54,0,-5,6.72,5.29,1.85,-44.3,-35.8,-0.26,0.11
임찬규,63,1.35,-3,0,0,13,7,4,0,-2,59,25,18,249,59,9,-1,4,19,0,-2,66,0,-3,-0.89,-0.7,-0.06,31,25.9,1.35,0.99
장민재,-9,-0.33,-2,-1,0,-12,-4,-1,0,0,-62,-32,-29,-259,-64,-6,1,-9,-14,0,-4,-71,0,-2,1.32,0.33,0.25,-6,6.9,-0.33,-0.62
조현우,150,1.63,47,0,0,0,5,1,1,9,39,13,13,161,32,6,1,1,17,1,0,24,0,1,-0.43,0.43,-0.15,37.1,2.7,1.63,1.05
한선태,,-0.16,-5,0,0,0,0,0,0,0,-6.1,-1,-1,-22,-3,0,0,0,1,0,-1,-4,0,1,14.32,6.43,4.04,-85.3,-83.5,-0.16,-0.01
김대우,66,1.03,2,0,0,1,-5,0,0,-1,-10.1,-16,-17,-37,-13,-5,-2,-10,10,1,-3,3,1,3,-2.03,-1.79,0.21,72.5,50.2,1.03,-0.52
김대우,,0.54,-16,0,0,9,-2,6,0,0,18,11,10,97,34,1,-1,-2,10,0,1,-3,1,-1,-0.03,-0.16,0.27,12.5,13.3,0.54,-0.49
차재용,,-0.08,-8,0,0,0,0,0,0,0,-8.2,-6,-4,-44,-9,-2,0,0,-8,-1,0,-7,0,-1,-3.72,-0.57,-1.76,21.6,-100.56,-0.08,
김윤수,116.2,0.73,56,0,0,-2,2,4,0,12,46.8,28,24,212,56,6,-1,4,21,3,1,32,0,7,0.03,-1.67,-0.04,12.7,33.7,0.73,-1.02
임정호,,0.54,63,0,0,0,2,1,0,22,36.8,21,19,156,29,3,0,3,18,0,7,32,0,0,0.75,2.51,0.2,-3.8,-95.9,0.54,1.21
임기영,42.86,1.29,13,0,0,17,7,7,0,0,79,47,42,334,85,12,2,5,14,0,7,69,1,3,-0.58,-0.95,-0.32,20.1,34.5,1.29,-0.61
김민규,89.7,0.62,28,0,0,4,1,2,1,0,51.1,30,29,223,45,14,0,3,21,2,3,54,0,1,4.89,-1.34,-0.21,9.8,130.33,0.62,
김정후,,-0.1,2,0,0,0,0,0,0,0,1.8,4,4,13,6,0,0,1,3,0,0,2,0,0,12,5.89,2.47,-64.6,46.33,-0.1,
김진성,,1.38,6,0,0,0,2,-2,0,1,5.1,-9,-6,12,2,-2,1,-2,-5,0,-2,21,-1,-4,-1.63,-1.88,-0.21,84.8,80.1,1.38,1.44
장현식,,-1.73,-16,0,0,3,-1,0,0,-3,-13.2,21,21,-39,6,7,1,-1,-1,0,-1,-23,0,5,6.15,1.42,0.62,-46.9,-8.8,-1.73,-1.61
김진욱,34,0.3,21,0,0,6,3,4,1,0,43.2,29,28,202,50,12,1,9,24,0,4,29,0,3,5.64,-2.51,0.68,39.9,69.56,0.3,
소이현,,0.01,12,0,0,0,0,0,0,0,11.1,9,9,54,7,2,0,1,13,0,1,7,0,0,6.57,2.56,-0.22,-21.1,68.96,0.01,
홍상삼,125,0.89,54,0,0,-1,4,5,0,17,42.8,24,24,203,27,11,0,4,50,0,2,56,0,3,0.3,-0.65,0.2,9.5,20.5,0.89,-0.57
임규빈,,0.54,32,0,0,0,2,0,0,2,36.2,20,19,158,45,6,0,11,10,0,2,18,0,2,4.54,7.85,0.49,802.4,63.06,0.54,
정찬헌,53.8,1.45,6,1,1,19,6,3,-6,0,100.1,46,41,424,105,18,1,10,25,0,4,74,0,5,1.71,1.15,-0.37,-95.3,-26.7,1.45,0.96
