이름,PER,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA
최동환,71.4,1.43,36,0,0,0,3,1,0,4,34,6,5,121,29,3,1,2,1,0,0,29,0,2,-3.18,-2.04,-0.41,71.7,45.2,1.43,0.26
박정수,,0.68,19,0,0,3,1,1,0,2,28,10,10,117,15,3,1,4,20,0,5,27,0,1,-7.96,0.5,-1.31,71.7,4.3,0.68,-0.2
윤강민,,0.04,-4,0,0,-1,0,-1,0,0,-7,-3,-2,-34,-8,0,0,-1,-5,0,-1,-4,0,0,59.28,2.64,5.15,-44.4,-9.8,0.04,0.2
윤호솔,,-0.01,3,0,0,0,0,1,0,0,2.8,1,0,10,0,2,0,1,3,1,0,2,0,1,-6.68,0.75,-0.67,21.1,2.8,-0.01,-0.39
홍정우,,0.27,23,0,0,0,0,0,0,1,24.9,15,16,105,27,2,0,3,8,0,0,27,0,1,-3.53,-5.25,-1,32.1,55.2,0.27,-0.17
권혁,,-0.15,-42,0,0,0,0,0,-1,-9,-29,-14,-12,-117,-25,-6,1,-3,-3,0,-2,-14,0,1,4.48,-0.76,0.79,-34,43.7,-0.15,-0.16
김세현,,0.46,32,0,0,0,2,-2,1,7,33.8,20,21,139,33,3,0,7,13,-1,-1,30,0,1,-0.44,-0.01,-0.74,15.8,12.5,0.46,0.14
조영건,,0.03,19,0,0,9,3,2,0,0,44,27,23,200,44,7,1,8,25,1,3,22,1,0,-75.72,-17.51,-16.31,83.8,50.2,0.03,-0.69
노성호,75,0.59,40,0,0,0,2,3,0,10,32.9,18,13,145,20,2,0,2,28,1,2,33,0,6,-7.81,-1.99,-0.89,76.4,34.2,0.59,-0.25
서균,-17,0.24,0,0,0,0,0,0,0,0,3,-8,-7,7,-3,-4,0,0,3,0,1,-2,0,0,-14.54,2.06,-1.23,49.4,-102.55,0.24,
이원준,,0.18,15,0,0,-1,0,0,0,0,17,12,11,86,25,5,2,2,12,2,0,15,0,7,-11.84,-6.41,-0.72,42.8,46.6,0.18,-0.36
양기현,,0.77,20,0,0,0,0,1,0,1,18,0,1,69,12,1,0,3,9,1,1,9,0,1,-11.33,2.64,-0.98,94.4,-62.3,0.77,0.11
김범수,0,0.95,-21,0,0,-8,-2,-3,-1,-1,-48,-36,-33,-226,-60,-8,-1,-6,-19,2,-7,-30,0,-8,-0.44,0.29,0.05,17.8,6.9,0.95,0.44
장원삼,,-0.1,5,0,0,1,0,1,0,0,19.8,19,16,92,29,4,0,3,7,1,1,8,0,0,-0.3,-0.1,0.17,12.2,14.7,-0.1,-0.7
이준영,50,0.72,11,0,0,-1,-1,2,0,12,-27.8,-28,-22,-131,-33,-2,-1,-2,-13,-2,-2,-21,-1,3,-1.03,-0.12,0.09,24.2,19.4,0.72,-0.69
류희운,,0.18,6,0,0,-1,0,0,0,0,6,4,4,24,6,2,0,1,2,0,0,6,0,-1,-12.34,-0.24,-2.13,26.4,16.3,0.18,-0.09
김원중,70,1.92,30,0,0,-17,0,-6,25,-1,-43,-46,-39,-236,-75,-7,0,-5,-24,4,-6,-36,0,-5,-1.78,-0.46,-0.44,50,24.2,1.92,1.55
이승진,112.8,0.74,16,0,0,3,2,4,0,4,32.1,16,15,139,34,11,1,0,10,1,1,40,0,-2,-2.44,-2.47,-0.24,29.8,59.2,0.74,-0.18
