이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,PER
송승준,-0.16,-11,0,0,-14,-3,-3,0,0,-64.9,-51,-47,-297,-77,-20,-2,-6,-29,0,-4,-55,0,-5,-1.75,-0.25,-0.08,10.6,-16,-0.16,1.64,-87.5
정성종,0.03,22,0,0,0,1,0,0,0,30.2,20,17,146,45,7,1,4,16,3,3,12,0,2,-0.72,0.16,0.35,-7.6,-21.5,0.03,0.38,
하준영,0.32,44,0,0,0,6,2,0,15,38,16,14,176,43,9,1,2,23,2,-1,39,0,-2,-4.24,-2.35,0.07,28.8,19.4,0.32,-1.68,116.67
임준섭,0.01,24,0,0,6,0,3,0,1,41,26,19,196,48,12,1,0,22,0,0,20,0,6,-0.12,-2.09,0.02,-24,13.7,0.01,-0.6,45
김성훈,-0.57,5,0,0,-4,0,-1,0,0,-5.1,0,1,-14,-1,0,0,1,4,0,-2,-2,0,3,1.26,0.7,0.45,-62.4,-41.1,-0.57,-0.23,
이우찬,0.43,27,0,0,13,5,4,0,2,90.8,51,45,389,75,12,1,5,63,1,3,58,0,4,-49.15,-16.71,-7.42,75.4,56.6,0.43,0.02,141.9
이현승,-0.19,-30,0,0,0,-1,1,0,-4,-24.2,-16,-15,-118,-35,-8,-2,-4,-14,-1,-1,-17,0,0,-1.99,-3.46,-1.06,35.5,111.5,-0.19,0.26,0
장민재,-0.99,-8,1,0,19,0,6,0,-1,59.9,43,41,260,88,11,-1,7,4,0,5,61,0,2,0.75,-1.13,0.05,-37,-0.5,-0.99,-1.01,22.2
김경태,0.29,14,0,0,0,0,0,0,0,8.8,0,0,37,10,4,0,-2,3,0,0,8,0,0,-12.79,-13.94,-1.38,69.9,81.4,0.29,-0.52,
이종혁,-0.7,-42,0,0,0,0,-5,-1,-4,-43,-27,-24,-190,-55,-7,1,-4,-14,-3,-1,-27,0,-2,-2.97,-0.47,0.08,131.5,-12.8,-0.7,2.05,
임찬규,-0.25,1,0,0,-14,-9,-6,-1,2,-58,-53,-45,-288,-111,-12,2,-13,-1,-1,-6,-53,0,1,-0.8,-0.33,-0.18,-5,-12.3,-0.25,1.57,-22.9
김시현,0.27,10,0,0,0,0,0,0,0,11.1,2,1,42,6,1,0,1,6,0,-1,5,0,1,-8.19,-3.21,-0.93,56.3,12.7,0.27,-0.11,
김대우,0.19,39,0,0,0,5,1,0,1,56.1,33,29,234,53,14,2,9,15,0,5,38,0,1,-8.37,-5.81,-1.41,46,31.9,0.19,-0.33,28
김대우,0.52,36,0,0,-7,3,-1,0,1,23.1,4,2,77,8,4,0,4,-2,0,2,25,0,1,-2.8,-1.73,-0.66,17.7,5.5,0.52,0.68,0
김민규,0.07,0,0,0,0,0,0,0,0,1.9,-2,-2,4,1,0,0,0,-1,0,0,0,0,0,-54,-16.93,-7.5,75.4,-23.43,0.07,,
김정후,-0.36,-11,0,0,0,0,-1,0,0,-15.9,-8,-7,-68,-11,-3,0,-3,-11,0,-1,-11,0,0,-3.63,-2.95,-0.19,-35.4,-72.24,-0.36,,0
임기영,-0.35,-17,0,0,-11,-6,-6,0,-2,-56.8,-46,-42,-266,-78,-10,1,-13,-15,-2,-10,-31,0,-2,-0.53,-1.22,0.06,-8.9,0.5,-0.35,0.97,-30
김진욱,-0.02,-2,0,0,-1,0,0,0,0,-4.2,-4,-4,-26,-6,0,0,0,-2,0,-2,-4,0,0,-6.35,3.8,-0.59,-39.1,-93.96,-0.02,,
홍상삼,-0.21,-14,0,0,1,-1,0,0,0,-9,-4,-4,-40,-8,-3,-1,0,-8,-1,-1,-8,0,0,0.46,0.97,-0.12,-31.5,-29.6,-0.21,0.16,-42.86
김진성,0.3,-8,0,0,0,-2,0,0,0,-3.1,-13,-16,-29,-17,1,-3,-7,-4,0,0,-3,0,3,-2.86,-2.47,-0.36,25.7,16,0.3,0.45,63.8
정찬헌,-1.12,-53,0,0,0,-4,-2,-21,0,-55,-31,-33,-253,-65,-10,0,-5,-18,-3,-7,-39,0,-2,-3.05,-1.59,0.16,124,27.8,-1.12,1.4,-23.5
장현식,0.24,32,0,0,0,2,2,-2,8,28,9,6,120,27,2,1,2,6,-1,4,25,0,3,-2.82,-2.02,-0.32,21.5,8.1,0.24,0.39,34.1
김주한,0.34,4,0,0,1,0,1,0,0,6,-3,-2,22,3,2,1,-2,1,1,2,5,0,2,-8.25,-5.76,-0.92,42.2,56.8,0.34,-0.4,0
임지섭,0.65,6,0,0,-2,0,-2,0,0,2,-9,-11,1,-6,-2,0,-3,1,0,1,5,0,-3,-22.37,-10.23,-1.91,131.9,54,0.65,0.36,
황인준,-0.76,-32,0,0,0,-3,-1,0,-1,-41.1,-23,-21,-176,-44,-8,0,-7,-7,1,-6,-24,0,2,1.39,-0.93,0.35,-37.6,-2.9,-0.76,-0.06,-35.09
윤지웅,-0.05,3,0,0,0,1,0,0,0,6.1,4,4,22,5,0,0,3,1,0,-2,5,0,1,0.71,0.84,-0.48,-33.6,-27.6,-0.05,-0.01,
최대성,0.44,-7,0,0,0,0,0,0,0,-10,-10,-11,-49,-15,-3,0,-3,-6,-1,0,-10,0,-1,-11.7,-7.83,,,,0.44,,
박신지,-0.61,-15,0,0,0,-1,-2,0,0,-21,-5,-5,-85,-13,-3,0,-4,-7,0,-1,-16,0,-3,-3,-6.22,,,,-0.61,,
강동연,-0.04,-3,0,0,0,-1,0,0,0,-6.2,-5,-4,-27,-2,0,0,0,-5,0,0,-2,0,0,0,0.91,0.31,-17.6,-24.3,-0.04,0.13,
안우진,0.32,-1,0,0,10,5,1,0,-1,47,21,18,197,51,14,1,2,8,0,0,34,-1,-2,-1.99,-1.65,-0.28,7.9,11.4,0.32,0.34,50
이현호,-0.28,1,0,0,6,1,0,-1,0,12.1,6,4,57,14,2,1,-2,6,0,0,-1,1,1,-0.98,-1.11,-0.05,-2.8,1.9,-0.28,-0.36,-13
최건,0.02,-1,0,0,0,0,0,0,0,-1,-2,-3,-9,-5,-1,0,0,0,0,0,-2,0,0,-13.5,4.57,-1.5,4.8,-108.22,0.02,,
박근홍,0.08,2,0,0,0,-1,0,0,1,-5.8,-8,-7,-34,-12,-4,0,2,5,1,-5,-16,0,0,-1.32,3.19,0.13,-2.7,-46.2,0.08,0,
장지훈,-0.04,12,0,0,0,0,0,0,0,13.1,11,10,73,21,4,1,0,11,0,1,11,0,0,6.28,2.41,1.3,-209.8,99.06,-0.04,,
조성운,0.05,-20,0,0,0,0,0,0,0,-21.2,-20,-18,-103,-26,-5,-1,-6,-11,0,0,-22,0,-3,-0.23,-2.95,0.4,-11.9,42.6,0.05,0.47,
심수창,0.16,2,0,0,1,1,1,0,0,9.1,4,4,44,10,3,0,-1,7,0,0,10,0,0,-9.26,-9,-0.94,32.2,54,0.16,0.46,
이민호,-0.19,-39,0,0,0,-5,-4,-14,0,-40.8,-27,-19,-170,-38,-8,0,-8,-10,-1,-2,-38,-1,1,1.84,0.19,0.96,-46.2,-21.7,-0.19,1.54,
오현택,-1.69,-57,0,0,0,-2,-2,0,-25,-52,-23,-20,-212,-51,-8,0,-5,-10,1,-2,-55,-1,-2,1.21,3.98,0.13,-54.5,-61,-1.69,0.12,-60
백인식,0.38,-13,0,0,0,-1,-2,1,0,-10.1,-12,-12,-52,-10,-2,-1,-4,-8,-1,-3,-10,0,1,-2.67,-5.66,0.19,7.2,126,0.38,1.52,
장원준,2.11,-18,0,0,-16,-3,-7,0,-2,-69.2,-79,-77,-335,-96,-18,0,-12,-30,0,-10,-45,0,-3,-0.92,1.83,2.13,-5.4,-27.3,2.11,2.93,-50
김태오,-0.17,-4,0,0,-4,-1,-2,0,0,-18,-13,-12,-81,-25,-7,-1,-4,-6,0,-1,-14,1,0,0,0.85,1.38,-19.3,-23.2,-0.17,0.37,
