이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,PER
이승진,-0.93,-17,0,0,0,0,-1,0,1,-22.1,-8,-4,-100,-20,-5,1,-3,-8,-1,-3,-23,0,-4,3.48,0.43,0.26,-62.2,-23.2,-0.93,0.17,0
이태양,-3.01,-8,0,0,1,-3,4,0,-2,-12.9,14,18,-42,8,0,1,-2,-10,-2,-1,-21,0,0,2.97,-0.51,0.19,-115.4,-15.5,-3.01,-2.52,-6.6
김재영,-1.54,-24,0,0,-20,-6,-4,0,-1,-103,-62,-58,-462,-122,-28,-1,-14,-34,0,-10,-52,0,-4,7.3,-0.1,0.49,-61.6,-18.6,-1.54,0.69,
신정락,-0.58,-5,0,0,0,2,-6,0,0,-6,-4,-4,-20,-11,0,0,1,4,0,0,-21,0,1,-0.02,1.13,0.05,-15.5,-41.5,-0.58,0.84,14
박정배,-0.92,-29,0,0,0,0,-2,-9,-1,-25,-8,-7,-107,-22,-5,0,-5,-10,-2,0,-35,0,-1,4.23,0.45,0.17,-47.7,-25.4,-0.92,2.4,
정성곤,-1.71,28,0,0,0,2,3,8,6,29.1,28,25,144,41,15,2,4,11,3,2,17,0,2,2.57,-0.12,0.2,-104.3,-20.5,-1.71,-1.01,42
엄상백,-0.91,-29,0,0,0,1,-5,-2,-12,-15,-4,0,-57,-11,-3,-1,2,7,-5,-8,-24,0,-2,2.6,2.56,0.57,-45.9,-60.6,-0.91,-0.52,-38
이보근,-1.64,-45,0,0,0,-7,-4,0,-21,-44.8,-18,-11,-183,-37,-7,0,-5,-10,-1,-4,-42,0,-2,5.44,-0.72,0.67,-77.8,-3.3,-1.64,-0.23,0
윤길현,-1.4,-26,0,0,0,0,-1,0,-4,-28,-4,-11,-106,-16,-2,-2,-2,-11,1,2,-24,0,0,6.16,4.58,2.74,-73.7,-60.7,-1.4,-0.23,
구승민,-3.03,-23,0,0,0,-6,0,2,-8,-37.2,-4,-5,-127,-17,-10,0,-7,-10,0,0,-32,-1,5,2.58,-0.74,0.57,-75.2,-7,-3.03,-1.75,-15.7
정수민,-0.98,-18,0,0,-6,-2,-3,0,-1,-48.9,-26,-22,-224,-52,-3,-2,-9,-23,0,-2,-34,0,-6,10.34,0.84,1.13,-60.1,-23.1,-0.98,0.83,0
박주홍,-0.79,7,0,0,6,-1,3,0,1,19.9,19,16,94,25,7,2,4,14,0,0,9,0,1,-0.7,0.12,0.03,-9.2,-19.4,-0.79,-1.44,30
최충연,-4.01,-36,0,0,2,-2,-4,-7,-12,-48.8,2,-4,-150,-29,-1,-1,-4,12,0,1,-60,0,-2,3.76,1.82,1.07,-88.4,-73.9,-4.01,-2.71,-33
홍건희,-0.87,10,0,0,13,2,8,0,0,65,50,46,293,80,12,0,8,26,-1,2,39,0,7,-3.1,-1.29,-0.56,8.5,0.3,-0.87,-1.72,-8.62
김민우,-1.11,-7,1,0,-8,-3,-2,0,0,-31.1,-20,-21,-153,-53,-16,0,-13,-11,0,-2,-27,-1,-1,0.23,-1.54,-0.13,-19.8,2.5,-1.11,0.11,16.7
